incident_id,fire_name,Water,Uninhabited_Veg,Uninhabited_NoVeg,Very_Low_Dens_Veg,Very_Low_Dens_NoVeg,Low_Dens_NoVeg,Med_Dens_NoVeg,High_Dens_NoVeg,Low_Dens_Intermix,Med_Dens_Intermix,High_Dens_Intermix,Low_Dens_Interface,Med_Dens_Interface,High_Dens_Interface,Total_Non_WUI_Acreage,Total_WUI_Acreage,Total_Fire_Acreage
603061,mills_canyon,1.367891896,14249.83937,38.8543367,7368.716308,0,0,0,0,340.6391728,2.64942548,0,0.240430853,0,0,21658.77791,343.5290292,22002.30691
638842,carlton,370.5018575,133958.209,435.2960471,115935.4467,636.6032363,29.86905033,0,0,5503.610622,104.1266332,0.608585175,1115.773045,323.3719548,23.41273877,251365.9259,7070.903579,258436.8293
647372,logging_unit,0,11439.79755,0,0,0,0,0,0,0,0,0,0,0,0,11439.79755,0,11452.12188
731475,lodge,0,11545.03481,0,849.1735439,0,0,0,0,0.612122979,0,0,0,0,0,12394.20835,0.612122979,12394.8205
738768,beaver_creek,6.246189144,31581.72484,25.39326317,3643.64978,0,0,0,0,4.118030028,33.02777363,0,0,0,0,35257.01407,37.14580366,35449.2197
744756,july,45.72387901,40348.86749,4.769523779,9727.356204,0,0,0,0,14.282032,0,0,0,0,0,50126.71709,14.282032,50140.99912
750232,snag_canyon,0,11891.41849,0,532.4515345,0,0,0,0,172.0529331,0,0,0,0,0,12423.87002,172.0529331,12595.92296
750301,south_fork,0,43096.91484,81.84844991,22985.28134,0,0,0,0,0,0,0,0,0,0,66164.04463,0,66164.04462
750343,little_bridge_creek,0,0,0,4955.864364,0,0,0,0,0,0,0,0,0,0,4955.864364,0,4955.864364
778078,duncan,0,0,0,888.4147218,0,0,0,0,0,0,0,0,0,0,888.4147218,0,888.4147218
782958,south_cle_elum_ridge,0,895.5962655,0,0,0,0,0,0,0,0,0,0,0,0,895.5962655,0,895.5962653
809568,happy_camp,42.92700118,77417.74949,51.7446949,57782.20314,0,0,0,0,174.0013008,0.883324602,0,6.56920699,0.910812334,0,135294.6243,182.3646447,135476.989
865852,deception,0,6111.486802,0,161.2033216,0,0,0,0,115.2058065,0,0,0,0,0,6272.690123,115.2058065,6387.895932
875523,790,4.070861606,22.20398976,0,2999.341712,0,0,0,0,0,0,0,0,0,0,3025.616563,0,3025.616564
983669,king,84.70125505,92432.01955,0.304531414,2974.245649,0,0,0,0,869.1423187,28.53294455,0,0,0,0,95491.27098,897.6752633,96669.28167
2743187,rocky,371.779639,52267.5156,35.22998127,16119.89369,0,0,0,0,621.388158,22.29916775,0,0,0,0,68794.41891,643.6873257,69438.10624
2749560,stouts_creek,0,24497.95349,0.179890829,1949.390394,0,0,0,0,0.126302862,1.762243567,0,0,0,0,26447.52377,1.888546429,26449.44246
2753601,fork,0,30190.55221,9.624812077,5450.657656,0,0,0,0,992.1624437,4.277047884,0,0,0,0,35650.83468,996.4394916,36647.27415
2770813,rough,23.94854282,82518.82908,0,69002.16075,0,0,0,0,1.740273694,0,0,0,0,0,151544.9384,1.740273694,151546.6787
2781653,gasquet,9.332349278,29868.83096,0.557345201,512.5214156,0,0,0,0,0.237269636,0,0,0,0,0,30391.24207,0.237269636,30391.47933
2789124,national_creek,4.549998764,19571.40975,0.226508453,1347.869671,0,0,0,0,0,0,0,0,0,0,20924.05592,0,20924.05592
2806273,wolverine,46.90081396,5580.798546,0,59884.36801,0,0,0,0,0,0,0,0,0,0,65512.06737,0,65512.06738
2816040,newby_lake,0,109.4974257,0,4467.021197,0,0,0,0,0,0,0,0,0,0,4576.518622,0,5150.052206
2837946,blue_creek,0,103.7722286,0,5883.57271,5.190774082,0,0,0,0.474854084,0,0,0,0,0,5992.535713,0.474854084,5993.010566
2860062,cougar_creek,1.844437169,19469.12267,17.24084945,34031.97536,0,0,0,0,0,0,0,0,0,0,53520.18331,0,53520.18333
2867919,north_star,103.4991853,170046.1391,3.295126098,47871.91755,0,0,0,0,43.84724181,0,0,0,0,0,218024.8509,43.84724181,218068.6982
2870956,canyon_creek,8.900740821,94588.88661,19.46333627,15005.52915,0,0,0,0,641.393665,2.144504134,0,23.98819727,0,0,109622.7798,667.5263664,110290.3062
2878511,grizzly_bear,3.732549433,30044.22123,69.34410457,46440.90029,41.19927376,0,0,0,2.475296156,6.507417356,0,0,0,0,76599.39744,8.982713511,76608.38015
2931055,okanogan,556.6842755,124554.4906,249.914363,178335.2118,106.2483592,0,0,0,7140.573532,31.09601246,0.133290502,140.6628339,27.2318227,0.207011856,303802.5494,7339.904504,311420.1401
2906716,chelan,70.36252057,52048.97669,3159.860063,33016.46908,464.1401986,0,0,0,5453.51362,10.79610785,0.257526576,891.8807344,145.9505132,0.19117538,88759.80855,6502.589678,95262.39825
2910134,butte,7.26590443,13397.89208,2.751317812,30930.69139,0,0,0,0,26425.28102,89.57468927,0,0,0,0,44338.60069,26514.85571,70853.45641
2915082,valley,357.7615277,28297.34544,955.7925555,32386.07108,766.5830204,0,0,0,9759.416045,3071.127319,12.57381007,295.2633222,291.4832633,15.57789743,62763.55363,13445.44166,76208.99527
2922269,county_line_2,30.51425031,18340.09066,0.751847111,47771.38735,0,0,0,0,1033.138592,27.6727532,0,30.02548717,0,0,66142.74411,1090.836833,67233.58095
2938854,carpenter_road,0,30236.16595,13.35202058,33290.02602,37.90036473,0,0,0,178.7987909,0,0,0,0,0,63577.44435,178.7987909,64007.65176
4277928,cedar,0,12223.46712,1.38831242,16515.0627,0,0,0,0,210.7338472,149.8809744,0,0,0,0,28739.91813,360.6148216,29100.53293
4327598,soberanes,169.2614336,50737.89745,5.638743866,80677.15224,0,0,0,0,530.3736262,2.111943828,0,0,0,0,131589.9499,532.48557,132122.4354
4345649,rail,0,41708.17837,0,0,0,0,0,0,0,0,0,0,0,0,41708.17837,0,41708.17837
4367985,chimney,437.909027,40033.38082,5.210888689,5172.752933,0,0,0,0,550.2812704,33.4451298,0,0,0.958715646,0,45649.25367,584.6851159,57084.80854
7170139,detwiler,525.384508,32196.58009,33.08054516,40881.36138,0,0,0,0,8184.043141,5.621963695,0,0,0,0,73636.40652,8189.665105,81826.07162
7200218,southern_lnu,318.8403167,9520.801233,203.8490044,34421.15697,783.8240381,0,0,0,16045.7904,561.9601152,0.001966957,435.4188954,150.1041148,0.791503042,45248.47156,17194.06699,62442.53855
7208972,dfpa_horse_prairie,0,13977.56232,49.06301033,2388.775867,0,0,0,0,0,0,0,0,0,0,16415.40119,0,16415.4012
7216628,diamond_creek,165.9985124,65500.48169,26.54539841,31547.79865,0,0,0,0,0,0,0,0,0,0,97240.82425,0,127624.3766
7231210,whitewater,0,2474.813671,0,9038.225424,0,0,0,0,0,0,0,0,0,0,11513.0391,0,11513.03909
7250173,uno_peak,0,55.42804125,0,8690.862123,0,0,0,0,0,0,0,0,0,0,8746.290164,0,8746.290163
7253911,miller,4.719110866,35523.46647,9.623970931,4085.250936,0,0,0,0,2.343660023,0.082096243,0,0,0,0,39623.06049,2.425756265,39625.61933
7265708,chetco_bar,360.7376712,187019.5054,12.21830184,3792.17673,0,0,0,0,57.11898114,0,0,0,0,0,191184.6381,57.11898114,191241.7571
7272173,high_cascades,2.72664681,40171.82887,0,40167.98145,0,0,0,0,0,0,0,0,0,0,80342.53697,0,80342.53697
7274496,norse_peak,82.68079943,28819.16465,0.088995913,23162.51455,0,0,0,0,0,0,0,0,0,0,52064.449,0,52064.449
7278759,milli_0843_cs,7.136744044,24084.77441,0,0,0,0,0,0,0,0,0,0,0,0,24091.91115,0,24091.91116
7293180,central_lnu,149.2962237,17565.05936,494.7874167,53507.55183,417.862887,2.446884251,172.5789318,302.9213847,31203.59214,3672.190463,0,1081.60956,1969.046455,184.3081288,72612.50492,38110.74675,110723.2517
7343355,umpqua_north,21.14733818,37506.43495,0.020631798,5740.608036,0,0,0,0,171.4000719,0,0,0,0,0,43268.21095,171.4000719,43513.80796
7346754,jones,0,10219.68866,0,0,0,0,0,0,0.500862891,0,0,0,0,0,10219.68866,0.500862891,10220.18952
7350855,jolly_mountain,4.659157964,28544.47381,12.2801068,7897.102935,0,0,0,0,358.8099714,0,0,0,0,0,36458.51601,358.8099714,54298.30674
7363775,eagle_creek,0,37954.20687,64.24803922,10545.59159,0,0,0,0,26.59023416,7.874584493,0,1.917659123,0.236920971,0,48564.0465,36.61939874,48600.6659
7373517,bridge_creek,0,3713.910217,0,0,0,0,0,0,0,0,0,0,0,0,3713.910217,0,3713.910217
7377619,salmon_august,70.41051062,28656.4356,0,37241.22537,0,0,0,0,0,0,0,0,0,0,65968.07148,0,88037.49559
7382007,orleans,6.026892455,21998.01016,1.457445773,5485.704239,0,0,0,0,0,0,0,0,0,0,27491.19874,0,27491.19875
7385500,pier,0,21499.15861,0.056242371,14889.65261,0,0,0,0,213.405977,17.11993224,0,0,0,0,36388.86746,230.5259092,36619.39338
7396234,eclipse,45.53062028,67722.381,12.45966404,32588.50891,0,0,0,0,13.57096959,0,0,0,0.05211695,0,100368.8802,13.62308654,100382.5033
7400161,falcon,0,1774.267921,0,1830.920753,0,0,0,0,0,0,0,0,0,0,3605.188674,0,3605.188675